FEN,Score
6K1/4P3/8/b6k/7P/8/8/8 b - - 1 142,-1113
1rb5/ppkp2pp/2r5/n1pq1p2/3P1PPb/1PPK4/P3P2P/RN3BNR b - - 4 25,+1327
7n/3k4/1P6/2pp3p/P1P1p2P/4P3/2R1PPKP/8 b - - 5 82,-1179
2k5/1p4r1/6p1/4PpN1/bP1P1P2/3n4/PRr2BPP/3K2R1 w - - 5 76,+392
r1b1k1r1/ppp1bppp/2Npp3/1Pn5/4N1P1/B7/P1PPP1PP/R2QKB1R w KQ - 12 17,+1238
8/7Q/8/1K6/5k2/8/8/8 w - - 7 248,+7
6k1/6R1/8/8/3K4/8/8/8 b - - 84 329,0
2k5/8/6K1/8/8/1p6/1P6/8 w - - 20 130,0
r1b2b2/pp1pp1p1/n1p3k1/3B1p2/3P1q2/6P1/PnP1PP1r/1R2R1K1 w - - 5 40,-1194
k5r1/6p1/3p4/3b4/P7/6PP/2QPP3/4R1K1 b - - 2 73,-1214
4K3/8/pp4R1/8/8/1k6/4P1P1/4NBR1 w - - 4 132,+8
8/2pp3k/p7/4q3/2P1P3/1n2B2K/1P6/4N3 w - - 1 93,-1042
8/8/1k4K1/8/2n5/p7/P7/1n6 b - - 49 172,+17
k6B/8/2P5/4PB2/1R1P3P/5PPK/Pp6/8 b - - 1 100,-4
r1bqkb2/ppppppp1/2r5/7p/1B1P2P1/1P1BP2N/P1P2PK1/RN1Q3R w q - 5 20,+1003
8/8/1B2n2k/4K3/P7/8/8/8 b - - 10 165,-1006
8/2K5/4k2P/3R4/8/8/1p6/8 b - - 3 176,+266
7k/8/8/4K2P/4P3/8/8/8 w - - 1 161,+11
8/2k5/8/2P5/K7/p2P4/P7/8 b - - 2 158,-1327
6R1/8/PP6/7k/8/2p4K/2P5/8 w - - 25 164,+4
r1k5/pp2p3/2p5/3pBb1n/1P2P3/3P1P2/P3N2P/R3KB1R w - - 7 41,+1274
8/1k6/5P2/3R3p/1p3P1P/8/1K6/8 b - - 0 148,-7
7B/K4k2/p6n/7P/8/8/2b4n/8 w - - 5 151,-220
8/p1K5/P3k2q/7p/8/8/RP6/8 w - - 10 146,-950
1Rn4k/8/7p/8/1p1p2P1/1P1P4/1P3B2/5N1K w - - 10 76,+1327
6k1/3r4/8/1K6/8/8/8/8 w - - 6 203,-18
8/kp3b2/8/5p2/3nP2P/1N1K2P1/PPP5/5R2 b - - 30 115,-1141
2r2b2/2nbp1Np/8/pp2B1k1/6nq/1PP5/P2PPPP1/R3KB1R w - - 1 35,-183
r1bqkb2/ppppppp1/4r3/7p/1n1P2P1/1PBBP2N/P1P2P1R/RN1Q1K2 w q - 10 17,+929
rnbq1bnk/1ppppr2/p2N1p1p/6p1/8/1NP3P1/PP1PPP1P/R1BQKBR1 w Q - 7 10,+1174
rnbqkb2/ppppp1r1/6pn/5p1p/5PP1/4P2N/PPPP3P/RNBQKB1R w KQq - 3 8,+111
2b3N1/1P2n1k1/3p4/8/1r6/b5K1/PP2PP1P/R4B2 w - - 3 71,+953
r1b1kbnr/pppqpppp/n7/3p4/8/3P2P1/PPP1PPBP/RNBQ1KNR b kq - 3 4,+39
8/k6P/4K3/8/8/8/8/8 b - - 0 225,-6
2B5/8/2p1R3/pp5P/3p4/3P4/P1k3K1/8 w - - 7 105,+1230
8/4R1K1/1Pk5/8/6B1/8/8/8 b - - 48 200,-11
8/p5k1/1p6/PP6/3K4/8/8/8 b - - 2 124,0
8/K7/8/2B5/8/2kN4/8/8 b - - 38 203,0
1nbqkr2/1pppppbp/1r4p1/p2n4/8/N5P1/PPPPPP1P/R1BQKBNR w KQ - 12 9,+87
3k4/7n/8/p7/1B1PK3/8/3P4/8 b - - 13 170,+1037
8/2p5/1p1n1Nq1/4k3/1rP4P/K2P2R1/5N2/5B2 w - - 12 94,+766
K7/8/5k2/8/p2P4/8/8/8 b - - 0 184,+13
rnbq2nr/ppppppkp/6p1/8/3P4/5P1P/PPPPK1P1/RNBQ1BNR b - - 0 6,-519
4Q3/1k5r/3p4/6p1/P3P3/6PP/b2P2R1/5K2 b - - 10 86,-1193
2K5/8/8/8/8/6R1/7k/8 b - - 53 289,0
8/2q5/p4p1k/P7/2RpK3/8/8/8 b - - 12 145,+7
7k/7p/4P3/p3K1b1/8/1P4P1/6b1/8 w - - 11 95,-1048
7r/8/1B5p/8/1P4k1/4P3/P1PP1PBP/R2NK2R b - - 10 70,-1327
4K3/8/8/8/8/2k5/R1p5/8 w - - 4 215,0
2r5/8/3p2pk/8/8/1b3K2/8/b7 b - - 57 139,+8
2R3R1/4k3/8/5P1p/2P5/P2P1B2/5P1K/8 b - - 4 103,-5
8/4K3/5B2/3P4/N7/8/6k1/8 b - - 94 243,-9
4R3/8/5Pk1/P7/2K5/8/3P3P/8 w - - 14 157,+8
8/p2kp1Q1/5np1/3q4/8/4P1Pb/PBPP1P1P/RN1K1BR1 b - - 0 27,-1327
8/1np3Nk/p1p1bP1p/8/P7/1PP1K3/3P2P1/R1B4R b - - 11 52,-1117
8/2k5/6N1/8/4K3/8/1B6/8 w - - 9 195,+135
1r2kr2/pp2pp1p/R3b1n1/8/7P/2q3PN/P1PPP3/RN1QK3 b - - 2 35,+2
8/1k6/7P/4K3/P7/8/8/8 w - - 0 234,+7
5k2/8/3p2p1/2RP4/4K3/3r4/8/b4b2 w - - 9 98,-1017
2b3nr/1p1p1p2/5k1p/2p5/2BPpp2/6q1/PP1P1PPP/R1B2KR1 w - - 18 40,+777
5k2/8/3P4/5K2/4p2P/4P3/8/8 b - - 2 125,-9
8/5k2/3bpp2/p1p3R1/P3K1P1/1P1P4/7R/8 b - - 15 110,-1117
Q7/6k1/8/8/3Pp1pP/6K1/4P3/8 w - - 2 117,+5
1k6/5R2/qp5p/1P3P2/b2P4/2P1K2P/4P3/8 b - - 0 86,+712
8/5k2/1P6/pbK3B1/8/P7/8/8 w - - 48 238,+1327
5k2/p1p3qn/8/1P6/1PPP1P2/2B1Pb2/2R5/3KR3 w - - 26 90,-161
2k5/7K/1p6/1P6/8/8/8/8 b - - 38 199,+1019
8/rpp3p1/p1k4r/P6p/P3PP2/2P3PP/R6R/2K5 w - - 5 101,+448
4k3/ppp1qp2/4bp2/8/2PQ4/4P3/PP1P3P/1RBK3R b - - 16 53,-1041
4k1B1/8/8/8/4P3/p4K1P/5P2/RN6 w - - 18 111,+13
8/1k6/1p6/1P1P4/P4P1P/6RP/3KP3/8 w - - 5 136,+5
7k/8/4K3/2P5/8/8/5B2/8 b - - 42 219,-7
1r3k2/8/P5K1/7P/1P3P2/2N5/8/8 b - - 0 161,-38
1k6/3Q4/pN6/1r1p4/7P/8/5P2/R1K2R2 w - - 2 76,+2
2r4r/pp2ppkp/2R3n1/8/7P/q5PN/P1PPP3/RN1Q1K2 w - - 9 42,+1036
7k/1K6/P7/8/2P3P1/3PP3/7P/8 w - - 4 176,+9
r1bqkb1r/ppppppp1/n4n1p/8/8/1P5N/P1PPPPPP/RNBQKB1R b KQq - 0 6,+46
2R5/7r/6k1/2b5/6K1/4P2P/PPP2P2/5R2 b - - 0 102,-1175
n7/8/8/4k2p/1p1p2P1/1P1P1R2/1P1N3K/6B1 w - - 14 91,+10
6B1/8/6Pk/p2pbr2/b1P5/RP1P1P1K/5P2/2R3N1 b - - 5 76,-662
2R5/8/4b2k/8/P1pPpPPp/7R/1P1PK2P/2BB4 w - - 10 94,+1327
3k4/4R3/6P1/6P1/1p6/PP4K1/8/8 b - - 1 144,-12
1k2K3/p6B/1q4rR/PP6/8/4P3/8/5r2 w - - 7 159,-1053
5R2/1k6/8/8/2R5/2P1PPPP/PPKB4/1B6 w - - 43 117,+4
3k4/8/8/5K2/p7/P7/8/8 w - - 44 257,0
8/4R1p1/1p6/1P6/PkBb4/8/3P3r/1K6 w - - 9 109,-5
2b3k1/prp1pp2/n7/4bP2/3P2r1/4nKPq/PPPBP2P/RN4NR b - - 3 41,+3
3K4/3P4/6k1/8/1p6/1P6/1P6/8 w - - 7 199,+15
2K5/2b5/8/6k1/4R3/8/8/8 b - - 57 175,-1
6k1/8/2R5/8/2P5/K3PP2/8/8 b - - 17 142,-12
8/8/P5K1/1k6/7P/1P6/8/8 w - - 8 201,+9
4R3/4p3/2p3k1/8/3b4/1qN1PRPr/3PB2P/7K w - - 0 94,+1024
k7/p2q4/P5p1/8/2P5/4PNP1/R2P3P/2K2R2 b - - 7 68,-801
8/8/1k6/8/p7/P4K2/8/8 b - - 67 268,0
rnbqk2r/ppp2p1p/3b1n2/3p2p1/4p2N/2P5/PP1PPPPP/RNBQKBR1 w Qkq - 0 7,-492
8/8/2k5/4p2p/p3P2P/2K5/4R2R/8 w - - 1 138,+6
1nq1kb1r/rpp1pppp/4bn2/p2p4/8/3P1NB1/PPP1PPPP/RN1QKB1R w KQk - 6 7,+87
8/1k4r1/3q2p1/3R1B2/8/2P1PPPP/PP1R4/2B1K3 b - - 16 80,-200
4r3/pppB2b1/3p2p1/8/2PkPP2/1P6/3P2b1/4K3 w - - 7 50,-1137
6r1/pr1pk3/1p4Pp/1KR3n1/4P1q1/7P/PPPP4/R1B5 b - - 4 58,+4
8/8/k7/6K1/8/3r4/8/8 b - - 4 174,+26
r1bNk1r1/Npppp3/6p1/4n2p/3P1b2/2P1P3/PP3PPP/R1BK1B1R b - - 0 18,-419
8/7k/8/4P3/8/8/4K3/8 w - - 0 194,+1
r1bk1b2/ppqppp1p/2p5/B2n4/3n2Q1/3P1PPN/PPP1P2P/RN1K1B1R b - - 6 16,+235
1r1k4/pp2p1Bn/2p5/3p1b2/1P1KP3/3P1P2/P6P/R1N2B1R b - - 16 45,-972
8/6k1/8/8/5P2/5K1P/2P1R3/8 w - - 0 156,+8
8/5p1k/p3p1N1/5P2/1P6/3PK1n1/P7/b7 w - - 4 77,-591
1qNk4/1pp3r1/nB4pp/5p2/1P1b2n1/2NP4/P1P1PPPP/R2QKB1R w KQ - 3 17,+1327
6r1/1bppn1b1/1p4k1/p4p2/8/3PP1PP/PPP3R1/RNB1K3 b - - 7 39,+512
B4b2/B3p2k/p1rpp1p1/1n6/1p5P/3P1Kp1/PPP1P3/2RR4 b - - 3 58,-348
3B4/6nk/8/4K3/P7/8/8/8 b - - 6 163,-1050
2k5/8/4P3/2B4K/8/8/8/8 w - - 4 329,+11
R7/5K1k/7P/3P1P2/2P5/1P6/8/8 b - - 0 208,-5
3r2n1/3np3/1p3rk1/4P3/P6P/3P1P2/1PPK2P1/1RBR4 b - - 8 68,-244
3Nk3/1K6/8/P7/1P6/8/8/8 b - - 10 178,-13
7R/2p5/8/P1b2p1p/5k1P/8/4P1K1/5B2 b - - 6 109,-933
2R5/4q1k1/pp6/1PBp1p1p/P2P3P/2P4P/4PP2/1R1K1B2 b - - 4 66,-969
7r/7p/1K6/1P3p1k/P2R3P/4P1P1/1P4R1/8 b - - 0 99,-1320
1rb3r1/ppk1ppbp/n1pp4/R5p1/6N1/2P4N/1P1PPPPP/2BQKBR1 w - - 0 12,+1181
7R/7K/1b1k4/1R3P2/7P/8/4B1P1/8 b - - 34 151,-1327
2b5/8/p5p1/2B3Pp/k6P/8/8/1K6 w - - 41 115,-3
1R6/2r5/1p6/8/7q/3P2N1/K2k4/3N3B b - - 17 120,+3
6kB/3p4/p6r/n3q3/PP6/2P3P1/3PP3/3RKB1N b - - 2 69,+625
4b3/3k4/p7/1K6/2P5/PPB5/8/8 w - - 0 161,+940
q2k1b2/2r1pprn/1p4p1/pbn2P2/3P4/2P1P3/PP1K2PP/R1BQR3 b - - 0 26,+1327
8/4B3/7p/1p6/2P2n2/PP2P2k/2KP1P2/R1R5 w - - 1 60,+10
rn1qkbnr/ppp1pppp/8/3p3b/5P2/7P/PPPPP3/RNBQKBNR w KQkq - 1 4,-340
8/8/3k4/8/1p6/1P6/8/6K1 b - - 41 223,+1098
4r3/k1pp4/pp5p/4q3/bP1PN1B1/8/1BP1PP1P/1Q1K3R b - - 7 47,-531
4R2r/3p3p/5k1n/2n1N2P/1b6/4P3/PPPP1PP1/R1B1K3 b Q - 16 31,-479
8/1p3p2/q6R/3pk1pP/1b6/1P2K3/2PP2P1/5B2 w - - 1 77,+1056
6K1/7r/pp6/1P6/8/5R2/k3P1P1/4NBR1 w - - 17 116,+1327
r3r3/1pp3p1/p1k5/Pb5p/P3PP2/2P3PP/4P3/3K2RR b - - 22 92,+604
q4bk1/1p2p1p1/5p2/1N1p4/1nrP4/2P4N/PP1BPPPP/R2K1BR1 w - - 17 32,+814
7k/8/8/1p2P1P1/1PPr4/p7/P1BP4/2K5 b - - 5 97,+6
8/3p4/3P4/2K5/5N2/8/5k2/n1B5 w - - 93 164,+712
8/8/5R2/2nP4/1P3k2/8/P3K3/8 b - - 12 105,-1132
1k6/7K/8/2P1P3/8/8/5B2/8 w - - 13 293,+10
8/8/1K6/3P4/4P3/4R3/8/6k1 b - - 32 195,-8
r1b1k3/pp1ppp2/2p2n1p/1B4r1/3b4/1PN1PP2/P1PP2PP/R1B1K2R w KQ - 3 27,+221
6K1/P7/8/P7/1k6/8/8/8 b - - 10 207,-10
8/4Q2K/8/8/8/8/3B3p/6k1 w - - 2 179,+8
8/1k5K/8/P7/5P1p/1P5P/8/8 w - - 0 165,+14
8/2k4K/1p6/8/3PP3/P1PR2P1/5P2/8 w - - 5 110,+1327
r1bqkb2/ppppppp1/4r3/7p/1B1P2P1/1P1BP2N/P1P2PK1/RN1Q3R b q - 4 19,-791
rn2qrk1/ppp3pp/4p3/b2p4/3P4/3K2P1/P3P2P/R2b4 w - - 2 19,-2
7k/8/8/6R1/1p4P1/1P1PB3/1P5K/8 w - - 33 127,+5
8/4k3/1P4q1/5Bpp/7N/P7/1P4P1/7K b - - 17 111,+651
rNb2kr1/ppqp1ppp/2p5/2b4P/5n2/BP6/P1PPPPPR/R2QKB2 w Q - 3 17,+379
8/5K2/8/8/2P5/5k2/8/8 w - - 21 231,+14
1k5N/8/8/8/8/2K5/1B6/8 w - - 15 198,+128
r1bqkbnr/pppppppp/2n5/8/8/5P1N/PPPPP1PP/RNBQKB1R b KQkq - 0 2,+92
8/8/6k1/1K6/1PR5/P1PP2P1/8/5B2 w - - 5 140,+9
1K4k1/4B3/b7/p6N/3P4/8/2R5/8 w - - 24 145,+1301
1k6/8/b3K3/8/4p2P/8/3P4/8 w - - 14 141,0
5K2/8/PP4k1/8/8/1P6/8/8 b - - 4 215,-7
rk6/2pp1p1p/ppq4b/5R2/bP3Nr1/B7/2PPPP1P/3QKB1R w - - 10 32,-85
5k2/8/PB6/5K2/8/2p5/2P5/8 b - - 60 226,-5
1k6/6R1/8/4p3/4n3/1P4KP/4P3/3N2B1 w - - 3 124,+1241
6K1/3k4/8/5R2/8/4PP2/2P5/8 b - - 15 216,-12
1r6/3pppkr/7b/4n1Bp/1n6/pRKP1P1R/2P2P1P/1N1Q4 b - - 12 30,-298
8/4p2p/1r2k1b1/pp2b3/P5nq/1P1BP3/3P1PP1/1R2K3 w - - 7 53,-7
4k3/7K/8/B7/P7/8/4b3/8 w - - 1 146,0
4r3/8/7p/B7/1P4k1/2N1P3/P1PP1PBP/R3K2R w - - 7 69,+1327
1K6/8/1P3k2/8/8/8/8/8 b - - 8 227,-15
3r3r/6R1/p2k4/PP6/2p1PP1p/2P5/8/2K5 b - - 0 129,+986
5k2/8/6P1/8/1p6/1P1P4/1P6/7K b - - 0 146,-1327
5b1r/3rpkpp/3pn3/1R6/3PP2P/5P2/PP6/RN1K1nB1 b - - 3 42,+114
rnb4r/p2k1p1p/2p1pb2/1Qp2n2/6P1/1P1P1q2/P1P1PP1P/R3KBR1 w Q - 0 18,-1030
r3kr2/ppp1qpp1/3p3n/8/1n4bP/P5P1/1PPPPP2/RNBQKB1R w KQ - 0 14,+942
3k4/2pp1Q2/4n3/8/6NP/4P1P1/PPPP1P2/R1B1KB2 b - - 4 47,-7
r2q1k2/N1ppppb1/1p3npr/2n4p/4P1PP/6R1/PPPPNP2/R1B1KQ2 w Q - 1 16,+108
8/2p1k3/6b1/3n2P1/PPP5/B7/3P2KP/b7 b - - 9 80,+408
rnbqkb1r/pp1ppppp/2p2n2/8/7P/7N/PPPPPPP1/RNBQKB1R b KQkq - 2 3,+138
r1bqkbnr/ppppppN1/7p/8/3n4/8/PPPPPPPP/RNBQKB1R b KQkq - 0 4,+402
3R4/2K3rp/7k/1P3p2/P6P/4P1P1/1P4R1/8 w - - 7 103,+1327
1k6/8/8/P5K1/7N/1P5P/8/8 b - - 4 184,-1320
1nbk2r1/rpppqppB/8/8/2Pp3B/4PPnP/PP4PR/RNK3N1 w - - 1 21,+284
1r5k/p1p1pp2/n7/B3bb2/3PN1r1/4nKPq/PPP1P2P/1R4NR b - - 5 45,+1327
3n1k2/7K/8/1P6/8/p7/8/8 b - - 2 212,+8
N1k5/p7/2p5/8/3r3P/5B2/3Q1P2/R1K2R2 w - - 2 68,+3
4R3/3p4/7N/3P4/7k/1P2P3/P3K3/5n2 b - - 0 85,-1103
1n6/4kN2/6K1/8/7P/4p3/8/8 w - - 0 172,0
2k5/8/2n2pP1/BN6/P1p2P2/2n1N3/8/5K2 w - - 0 118,+1283
1r5k/2p3p1/1pq4N/1p3p1n/2P1P2P/r2P4/P3K1PR/1N3B2 b - - 6 58,+1327
1N6/2k3n1/8/2p5/4pK2/3P2P1/PPP1B3/3R4 w - - 0 93,+1301
2k5/8/4K3/7P/p1PP4/P7/R1PBN3/8 w - - 31 122,+4
6R1/4k2p/8/7b/8/8/K7/2r5 w - - 27 169,-587
r2k4/3p2p1/3r2P1/p4P2/3P1P1P/P1P5/2P5/2RK4 w - - 1 90,-316
5B2/pk6/8/7p/3PPn2/P6P/P1P1RP2/2K1R3 w - - 4 81,+1320
2bqkbnr/2ppp1pp/rpn2p2/p7/2N5/5PP1/PPPPP2P/1RBQKBNR w Kk - 4 6,+14
8/8/7K/8/R7/2p5/2Pk4/8 b - - 68 208,0
5bn1/B3p1pp/n5r1/pp1N1bk1/7q/1PP5/P2PPPP1/R2K1B1R w - - 6 27,+248
8/3p1p1k/p4B2/8/2R2PP1/p7/2PKP3/5BN1 b - - 5 60,-1327
2b1kb1r/pp1p1ppp/4p2Q/1N3n2/8/3PP3/PP1P1PPq/R1B1KB1R b KQ - 0 14,-227
6R1/8/7k/5p2/5PP1/p1p1K2B/2P1P3/b5N1 w - - 4 73,+1327
1K6/3k4/8/8/4n3/4R3/8/8 w - - 30 168,+19
8/5kP1/8/8/2P5/4KPP1/8/8 b - - 2 141,-1327
8/r6k/4N2B/p4P2/P4K2/3P3P/1PPR4/8 b - - 30 111,-1327
3k1b1r/4p1p1/4PpR1/pp5p/3P2PP/BP1r4/1K5R/8 b - - 9 112,+405
8/2k3K1/4P3/8/7p/7P/8/8 b - - 3 206,-28
r1b2b1r/ppppkppp/7n/4p3/1n5q/B2PP3/PPPN1PPP/RN1QKB1R w KQ - 1 11,+691
rk5r/p1Q5/1p1b2Pp/8/2b1P3/3P4/PPP2P1P/R2K1B1N b - - 0 46,-144
rn1qkb1r/pppbpp1p/3p2pn/8/4P3/1P1P1PP1/P1P2K2/RN1Q1BNR b kq - 2 8,+864
rnb2r2/pp1pppk1/6pp/2pN4/7q/3K1PQN/PPPP4/1RB2R1B b - - 1 37,+725
4k2B/3pp3/8/P6K/1b6/8/1PP2PPP/4R3 w - - 13 73,+1320
8/8/2k5/2B5/4N3/8/6K1/8 w - - 77 229,+66
1k6/pb3pp1/1ppp4/8/4P2P/1n2R3/2RP1P2/2BK3N b - - 5 51,-901
4k3/2pnpp1r/8/r2pn2p/5N2/PPK3P1/2P1PP1P/RN3BR1 b - - 6 25,-835
r1b4r/1p1nkppp/p2qpQ2/2p5/7P/3P1P2/PPP1P1P1/R1BK1BR1 b - - 0 17,+933
3K4/3N3k/8/8/5P2/2P5/8/8 b - - 70 266,-1200
8/7R/8/P1b2pk1/4P2p/8/6K1/5B2 w - - 14 130,+1030
r1bqkbnr/pppppppp/2n5/8/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 1 2,+2
1n3B1k/8/3p2p1/3P3p/1K2P2P/5P2/rP6/1N1R4 w - - 0 88,+1104
1kr5/5ppp/p2N1b2/2p5/2P5/6P1/PP2PP1q/1R1R1K2 b - - 6 39,+1
8/5P2/2B1K3/8/8/4k3/8/8 w - - 55 239,+6
4R3/2N5/5P1p/p1p2n2/P5k1/1PP5/3P1KP1/RbB5 b - - 15 75,-1327
8/7K/p1p5/P7/2k2p2/8/8/8 b - - 5 149,+12
2r3r1/n1p2ppp/2q2k2/3pp3/3PP3/2P2PP1/1P1B1K1P/1NR1Q3 b - - 9 37,-1
BBr5/4p1bk/p2pp1p1/1n6/1p3K1P/3P2p1/PPP1P3/2RR4 b - - 7 60,+223
4k3/3r1R2/pp1pp3/3P4/4P3/PP5P/5P2/RN1BK3 w Q - 1 55,+1327
4r3/5K2/6R1/1p6/1p3P2/2P3R1/1k5P/8 b - - 7 95,-1294
1r6/R2b1pk1/4P3/pPp4r/P3B3/3P2P1/8/1RBK4 b - - 4 86,-833
8/6k1/2b5/8/2P1BK2/pP1P1P2/R4P2/5RN1 w - - 24 117,+6
8/8/8/8/2P2k2/8/8/7K w - - 12 182,0
6q1/2pN1p1p/1B6/7k/1P6/4P1r1/P1PP1PPP/R2QKB1R b KQ - 0 40,-1327
1rbqk1r1/pppppp1p/2n2n2/8/6pP/5PP1/P1PPPKB1/RNBQ2NR b - - 4 17,-242
8/6k1/2K5/8/5P2/8/8/8 w - - 31 161,+1
rnb1k2Q/1p2p3/p1pp1p2/7p/3PP3/2N1B3/PPP1NPPP/R4RK1 b - - 1 15,-1327
8/4r3/6k1/2K4R/8/8/8/8 w - - 68 256,0
5b1r/1rp1p1pp/pQ1p1k1n/n7/3Pqp2/1N6/PPPBPPPP/1R2KB1R w K - 10 23,+830
7k/8/8/4KP1P/8/8/2P5/8 w - - 3 196,+9
1b2k3/4n3/8/2P5/2K5/7P/8/8 b - - 6 119,+235
8/3B4/8/6k1/2PP4/8/5K2/8 w - - 22 192,+1327
7R/8/1k2B3/7K/8/8/8/8 w - - 20 216,+11
3K4/7r/8/2k5/8/8/8/8 b - - 25 252,+6
2r5/ppp3p1/2BkN2q/8/1b1P2Pp/NP2P3/P1P1KP2/R2Q1R2 b - - 0 35,-1177
r1bq1b1r/2pkpNpp/2np4/1p5n/Q3P2P/5PP1/PPPP2R1/RNB1KB2 b Q - 0 13,+307
6k1/8/6P1/1PP5/3K3P/8/8/8 w - - 5 155,+7
5q2/p1pkppb1/1r1p2p1/4n3/8/1PP1P1KN/P2P2PP/RNB4R b - - 0 30,+623
3q4/p1p1p1kN/6B1/3P3r/5rP1/2PKP1P1/PP6/R7 b - - 23 78,+3
3r4/p1p3p1/1p3R1p/1k1n4/1P2B3/2P3b1/P2P3P/RNBK4 b - - 6 44,-916
4B3/p3r1p1/1p6/kP6/P7/8/K2P1b2/1nR5 w - - 29 101,-773
8/5k2/1P3B2/p7/P5P1/K7/2R5/8 w - - 23 178,+5
1q3k2/1p6/N4pp1/2P1p2p/4PR2/P2P2K1/1PN3P1/1R3B2 w - - 7 52,+1327
r1bqkbn1/pp1pp1pr/n1p2p1p/1B6/4P3/N6N/PPPPKPPP/R1BQ3R w q - 2 6,+60
r2kr3/pBp2p2/3p1Q1n/7P/4P3/P5P1/1PPP1P1R/RNB1Kb2 b - - 0 28,-1327
5n2/7k/8/8/3P4/8/4K3/8 b - - 41 200,0
5Rnr/p1p1pp1p/4k1p1/3QP3/2P5/8/PP3PPP/RNB1KB1R b KQ - 2 13,-2
5k2/1P6/1P6/4B3/5P1P/3K3P/4P3/8 b - - 4 160,-4
8/P7/8/3p4/k2P2K1/4P3/8/1b6 b - - 2 171,-912
5K2/5N2/8/3k4/8/3B1P2/p1R2P2/7R b - - 1 147,-3
8/4R1K1/1k6/5P2/7P/3B4/3b2P1/8 w - - 12 161,+1327
8/8/p1k4B/1n1r3R/K1P5/6P1/4PPP1/5B2 w - - 1 69,+1257
k7/1p3b2/2n5/5p2/N2KP2P/6P1/PPP5/5R2 w - - 17 109,+1140
5q2/1p3p2/4k2p/3p2pP/1b3R2/1P6/2PPK1P1/5B2 b - - 3 70,+1048
2N3kr/pNpp1ppp/2n1p3/2b5/1P1n1q2/8/PBPPPPPP/R2QKB1R w KQ - 1 23,+1320
3k4/ppp1qp2/3Qbp2/8/2P5/4P3/PP1P3P/1RBK3R b - - 14 52,+616
r1bk4/pp1ppp2/2p4p/3n1r2/3b4/1PN1PP2/P1PP1KPP/R1B2B1R b - - 10 30,-1
K5k1/8/8/5P1p/7P/8/8/6N1 w - - 51 186,+1327
6k1/3K4/P7/5R2/2P2NP1/3PP3/7P/8 w - - 37 153,+4
q2Nrbr1/pbp1p1p1/7k/8/Q4Pn1/3nP3/PPPKB1PP/RNB4R b - - 3 30,-211
8/2k5/8/4p2p/p1K1P2P/2p5/7R/4R3 w - - 12 136,+1327
1n6/p7/1N6/5k2/3P2r1/P4PPb/4K3/RN3R2 b - - 4 82,-546
8/k7/7K/8/8/8/8/1r6 w - - 0 143,-17
8/5p1k/p2p1B2/8/2R2PP1/p7/2PKP3/5BN1 w - - 0 61,+3
8/1k1p3p/8/1P2K3/8/8/6r1/8 b - - 5 124,+1320
6K1/8/1k4R1/1P6/P7/4PP2/2P5/8 b - - 10 200,-9
5K2/8/3P4/k7/1p6/1P6/1P6/8 b - - 10 177,-7
4K3/8/3B4/3P4/6k1/8/1N6/8 b - - 62 227,-11
8/8/8/6k1/2PP4/8/2B2K2/8 w - - 8 185,+1327
2b3qk/rp1p1p2/p2bp1pr/2Q4p/2P5/P2PP3/NPnN1KPP/1RB2B1R w - - 5 19,+1070
7B/3pk3/4p3/P7/8/6K1/1PP2PPP/8 b - - 3 77,-1320
R7/2p1pB2/6kr/8/q2b4/1P2PRP1/3P3P/1N5K b - - 33 87,-1179
8/4B1k1/8/8/Pp6/8/3P1K2/8 b - - 9 134,-1301
8/8/3k3P/8/5K2/8/8/8 b - - 14 267,-9
1R6/6k1/8/P3K3/1p5p/2Pb3P/1P3P2/1N2n3 b - - 2 101,-826
8/4K3/8/8/1k1P4/4N3/8/8 w - - 46 191,+12
5k2/8/p7/P7/2p5/8/n4K2/8 b - - 1 136,+14
k7/8/1P6/8/6P1/1P5P/2P1KP2/7R b - - 4 166,-11
3k4/4n3/p2Kp1p1/P5Pp/7P/8/2b5/8 b - - 0 87,+19
2bK3R/8/8/3P2B1/p6k/8/8/7N b - - 31 174,-23
4r3/p2p3p/npbq4/3kb3/1P1P1pr1/1KP2P1n/P5PP/R1B2NR1 b - - 2 38,+1314
2Q5/1k2K3/8/8/7p/7P/8/8 b - - 26 239,0
1k6/8/P3P3/rp6/2p5/6K1/6p1/8 b - - 4 156,+8
1q3br1/rpp1p2p/p2k2p1/n2p4/5PB1/3b2P1/PPPPP2P/RNBQK2R w KQ - 0 16,+756
b3r3/1Nppk1rq/5b2/8/1P2PnP1/P7/R1PP3P/2B3K1 w - - 3 46,-4
5Bk1/1K6/8/7N/7P/8/8/8 b - - 10 203,-1129
3K2k1/8/pB6/8/1PP5/P7/6b1/8 b - - 26 188,-746
8/8/P7/5K1k/8/8/8/8 w - - 43 264,+7
4B3/7k/8/2P5/3P4/8/8/7K w - - 7 201,+7
5r2/p2kpp2/1p6/3p1b2/P1pN4/2P1P1nr/1P1P1PPR/RNBK1B2 w - - 2 21,+1123
1r6/pBn1k1p1/P6p/8/R7/4P3/1PP1K3/8 w - - 9 86,+279
1rb3k1/pppBpq2/4p3/3P4/4K1P1/2P1P1P1/PP5r/RN4R1 w - - 3 47,-1032
2n3r1/qb1p1p1p/1p5k/pP2P3/3P1P2/P6P/2P1P3/R1B1KR2 b - - 4 41,+521
